job_id,job_title,extracted_job_skills,experienced_level,extracted_job_skills_count,role_category,extracted_requirements,extracted_responsibilities
1,data analyst,sql,entry level,1,data analyst,s1 teknik industri informatika sains fresh graduate mampu menguasai sql mampu menguasai alat visualisasi data,menarik data dari database dan menyajikan secara visual mengubah dari data menjadi bentuk infomasi untuk membuat managemen mengambil keputusan
2,data analyst/intelligence,power bi tableau excel,mid level,3,data analyst,bachelors degree in finance accounting economics or related strong financial analysis and modeling skills excel google sheets expe pivot tables macros formulas knowledge of bi tools power bi tableau zoho or equivalent is a plus strong attention to detail and structured thinking 23 years experience in financialdata analysis,build maintain and automate dashboards daily weekly monthly reports perform sales inventory psi and financial analysis conduct roi analysis for marketing and trade investments forecast demand and suppo supply chain planning suppo sales team with performance tracking and incentive calculations provide competitor and market intelligence to management
3,data  analyst,spss sql python power bi oracle excel,unspecified,6,other,data analyst 1 mengerti bahasa pemrograman bahasa pemrograman seperti sql structured query language oracle dan python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh data analyst 2 familiar dengan platform power bi dari microsoft 3 mengerti matematika dan statistik 4 mampu menganalisis menyajikan dan menginterpretasikan data 5 mampu menggunakan software 6 memahami data warehousing 7 akurat detail oriented,data analyst berikut merupakan job desk data analyst mengumpulkan data yang akurat mengelompokan dan mengidentifikasikan data membuat rancangan menyimpan dan mengelola database mengolah data data yang dimiliki menggunakan alat statistik seperti microsoft excel program spss sampai dengan program sql membuat kesimpulan dan laporan yang relevan setelah data dianalisis berkomunikasi dengan internal customer logistik sales etc menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami
4,data analyst associate,sql tableau python power bi oracle,senior level,5,data analyst,craft sql scripts examine source data structures detect data quality inconsistencies and design strategies to handle data integration obstacles you will work with finance stakeholders engineers and product teams to comprehend the associated business processes and transform these understandings into technical scripts you will design and deploy data integration solutions select appropriate data integration tools develop data mapping set up transformation and load etl processes and construct data integration workflows you will analyze requirements and develop financial operational reports or dashboards including automating existing reporting procedures you will provide technical suppo to resolve data integration issues and troubleshoot datarelated problems you will guide a team of external consultants to execute systemrelated requests by breaking down business requirements into actionable steps based on how the system is set up,get to know the team you will join a dynamic team reporting to the senior manager of finance data strategy we are dedicated to consolidating data from different sources to provide a coherent and unified view for finance stakeholders we prioritize data consistency quality and accessibility and we thrive on crossfunctional collaboration to meet the diverse needs of our business get to know the role as a data analyst finance product data integration at grab you will consolidate data from various sources to provide a unified view for finance stakeholders you will ensure data consistency quality and accessibility while collaborating with finance business teams and the data engineering team your role includes maintaining databases ensuring data integrity and security and conducting regular audits and quality checks robust analytical skills attention to detail and crossfunctional collaboration are essential for this position this role is based onsite in our jakarta office the critical tasks you will perform you will develop data integration solutions that match business requirements craft sql scripts examine source data structures detect data quality inconsistencies and design strategies to handle data integration obstacles you will work with finance stakeholders engineers and product teams to comprehend the associated business processes and transform these understandings into technical scripts you will design and deploy data integration solutions select appropriate data integration tools develop data mapping set up transformation and load etl processes and construct data integration workflows you will analyze requirements and develop financial operational reports or dashboards including automating existing reporting procedures you will provide technical suppo to resolve data integration issues and troubleshoot datarelated problems you will guide a team of external consultants to execute systemrelated requests by breaking down business requirements into actionable steps based on how the system is set up
5,data analyst officer for finance divison,excel,mid level,1,data analyst,bachelors degree any discipline with preference in finance accounting economics or related majors minimum 3 years working experience in the related position experienced in processing largescale data using excel preferably those who understand excel macros strong communication skills to effectively build and maintain relationships with franchise agents having good analytical skill logic thinking honest high integrity and selfmotivated person willing to be placed at pluitnorth jakarta able to join immediately,supporting accounting division in preparing the data for franchise agents commission collect all franchise agents commission deductions claim punishment dfod penalty and others identify and analyze the business strategy opportunity and risk and prepare manage and check administration and documentation
6,data analyst,sql tableau metabase google data studio python power bi excel,mid level,7,data analyst,fresh graduates or candidates with 12 years of experience in dataanalytics proficient in sql required basic knowledge of python for analysis or automation tasks comfortable with spreadsheetbased reporting and excel familiar with bi tools like metabase tableau power bi or google data studio strong interest in data collection transformation and automation good communication skills and willingness to work across teams a growth mindset and eagerness to learn new tools or methods,collaborate with different teams manufacture warehouse sales finance etc to understand data and reporting needs write and optimize sql queries to extract and validate data build interactive dashboards using tools like metabase tableau power bi or google data studio clean structure and prepare data for analysis suppo simple etl tasks to consolidate data from different sources present insights clearly to nontechnical users through reports or dashboards document your work and share learnings with the team benefit gaji pokok tunjangan bpjs full
7,data analyst staff,sql excel python,mid level,3,data analyst,and translate them into datadriven solutions continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy provide recommendations and suppo datadriven decisionmaking processes ensure data integrity security and compliance with relevant regulations and policies,collect organize and analyst data from various sources to identify trends patterns and insights develop and maintain data models dashboards and reports to present findings in a clear and concise manner collaborate with crossfunctional teams to understand business requirements and translate them into datadriven solutions continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy provide recommendations and suppo datadriven decisionmaking processes ensure data integrity security and compliance with relevant regulations and policies
8,data analyst staff,sql excel,mid level,2,data analyst,yang dibutuhkan pendidikan min s1 dalam bidang teknologi informasi statistika matematika atau disiplin ilmu terkait minimal 2 tahun pengalaman kerja sebagai data analyst atau peran serupa mahir dalam menggunakan alat analitik seperti sql excel kemampuan dalam pemodelan data visualisasi dan pelaporan pemahaman yang baik tentang teknik statistik dan data mining kemampuan komunikasi yang kuat baik lisan maupun tulisan keingintahuan yang tinggi berorientasi pada pemecahan masalah dan kemampuan berinovasi bersedia untuk penempatan di kawasan industri mm2100 cibitung,
9,data analyst,api sql tableau looker python power bi excel,unspecified,7,data analyst,bachelor degree of it computer science data science or certification of course completion in data analyst age range 20 39 must have skill expe in excel gsheet sql tableau phyton scraping website including ecommerce marketplace able to work with target deadlines location of work kemayoran central jkt or pakem kab tangerang depend on the candidate location,data collection management gather data from multiple sources databases apis spreadsheets surveys etc maintain and update databases or data systems ensure data accuracy completeness and consistency data cleaning preparation identify and correct errors or inconsistencies in data standardize transform and organize data for analysis handle missing or incomplete data appropriately data analysis interpretation use statistical techniques to identify trends correlations and patterns perform exploratory and predictive data analysis apply business logic to translate raw numbers into meaningful insights reporting visualization develop dashboards and reports eg in power bi tableau excel or looker present findings to stakeholders in a clear concise way create visualizations charts graphs kpis to make data insights accessible punctually deliver repo as required by users including periodical reports daily weekly quarterly yearly report business suppo decisionmaking collaborate with management to understand business needs provide datadriven recommendations for process improvement growth cost reduction or other important matters suppo strategic planning and forecasting collaboration communication work with crossfunctional teams it marketing finance operations etc translate technical findings into actionable business language document processes analysis methods and key findings tool technology use query databases using sql or similar languages work with python gsheet or excel for data analysis leverage bi tools for reporting and visualization
10,marketing data analyst,sql adobe analytics python r power bi excel,entry level,6,data analyst,s1 data science data analis statistika matematika terapan ilmu komunikasi manajemen pemasaran digital marketing sistem informasi teknik informatika ilmu komputer memiliki pengalaman minimal 1 tahun di bidang data science menguasai tools analytics seperti gaadobe analytics meta ads manager search console semrush metric cools etc menguasai data analytic tools sql excelgoogle sheetpower bi pythonr etc memiliki kemampuan yang baik terkait project management analytical thinking communication skill memiliki daya analisa yang kuat berpikir logis sistematis serta dapat mencari solusi,mengumpulkan menganalisa data dari berbagai kampanye digital untuk mengukur efektivitas memberikan wawasan yang membantu pengambilan keputusan dalam pengembangan strategi pemasaran memantau metrik utama dari saluran digital seperti media sosial iklan online dan email marketing serta menyusun laporan kinerja yang menggambarkan hasil dan rekomendasi untuk optimasi lebih lanjut mengidentifikasi tren pola dalam data untuk memberikan rekomendasi yang membantu tim pemasaran dalam merencanakan dan mengoptimalkan kampanye yang lebih efektif efisien
11,junior data analyst,sql tableau python r power bi excel,unspecified,6,data analyst,bachelors degree in data science statistics computer science or a related field minimum of 1 year experience as a data analyst with a proven track record of successful data analysis projects experience in the banking industry is a big plus proficient in sql and in at least one of python r excel experience with data visualization tools such as tableau power bi or similar tools familiarity with statistical analysis tools and techniques is a plus excellent communication and interpersonal skills including project and stakeholder management,as the data analyst at bnc you will play a crucial role in leveraging data to drive datadriven decisionmaking enhance operational efficiency and optimize customer experiences you will be responsible for collecting analyzing and interpreting large datasets to provide actionable insights that suppo various departments within the bank
12,business analyst (data analyst),sql tableau excel looker,entry level,4,data analyst,bachelors degree in computer science mathematics statistics or related field 12 years of proven experience as data analyst proficiency in excel sql is a must preferably having experience using data visualization tools tableau looker studio etc,collecting data researching developing and implementing datagathering methods analyzing and synthesizing data collaborating with coworkers and management to implement improvements evaluating the effectiveness of implemented strategies
13,data analyst officer (collection departement),power bi tableau excel sql,mid level,4,data analyst,bachelors degree in statistics mathematics economics industrial engineering or related field 12 years of experience as a data analyst preferably in fintech banking or multifinance proficient in sql and excel advanced formulas pivot tables lookups skilled in data visualization tools power bi tableau or similar basic knowledge of statistics regression segmentation distribution understanding of collection processes and riskcollection kpis is a strong plus strong analytical skills attention to detail and problemsolving ability good communication skills with the ability to explain insights to nontechnical stakeholders high integrity and ability to work in a fastpaced fintech environment,collect clean and process data related to collection activities loan aging dpd recovery rate bucket movement prepare regular reports daily weekly monthly to monitor collection team performance analyze the effectiveness of collection strategies call center reminder sms field collection restructuring provide datadriven insights to improve recovery rate and reduce npl nonperforming loan build and maintain interactive dashboards for realtime monitoring of collection kpis collaborate with collection risk and business teams to develop datadriven strategies ensure data accuracy consistency and compliance with ojkbi regulations
14,data  analyst - sidoarjo (east area),spss sql python power bi oracle excel,unspecified,6,other,data analyst 1 mengerti bahasa pemrograman bahasa pemrograman seperti sql structured query language oracle dan python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh data analyst 2 familiar dengan platform power bi dari microsoft 3 mengerti matematika dan statistik 4 mampu menganalisis menyajikan dan menginterpretasikan data 5 mampu menggunakan software 6 memahami data warehousing 7 akurat detail oriented,data analyst berikut merupakan job desk data analyst mengumpulkan data yang akurat mengelompokan dan mengidentifikasikan data membuat rancangan menyimpan dan mengelola database mengolah data data yang dimiliki menggunakan alat statistik seperti microsoft excel program spss sampai dengan program sql membuat kesimpulan dan laporan yang relevan setelah data dianalisis berkomunikasi dengan internal customer logistik sales etc menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami
15,data analyst,tidak ada tools spesifik,mid level,1,data analyst,bachelormasters degree in statistics mathematics management or it with a minimum gpa of 300 from a reputable university have a minimum of 2 years experience in data analysis customer satisfaction customer survey skills fluent in english verbal written microsoft office minimal intermediate planning and organizing skills customer service oriented looking for character development timeline planning work with crossfunction team strong analytical and logical thinking good interpersonal communication able to work as a team or independent,prepare a customer satisfaction survey with the appropriate method ensuring the achievement of customer satisfaction scores above the targets set ensuring the quality of internal surveys and conducting analysis execute and evaluate action plans and campaigns to increase customer satisfaction
16,crm/cvm analyst (work from home) - singapore client,google analytics adobe analytics tableau power bi excel,mid level,5,other,bachelors degree in marketing business statistics economics data analytics or related field 48 years of experience in campaign analytics digital marketing analytics or a similar role telecomtech industry experience preferred strong proficiency in digital analytics and campaign measurement handson experience with tableau preferred or power bi dashboard creation visualization and reporting advanced skills in excel and google sheets for data analysis and reporting strong analytical and commercial skills with the ability to translate data into business impact solid understanding of campaign performance metrics ctr conversion arpu churn uplift etc proficiency in excel and analytical tools google analytics adobe analytics or similar is a plus strong problemsolving skills with the ability to generate actionable insights excellent communication skills to present insights to both technical and nontechnical stakeholders why join us opportunity to work in a fastpaced datadriven environment direct impact on shaping campaign strategies and customer engagement exposure to advanced marketing automation and cvm platforms collaborative and supportive team culture,analyze endtoend marketing campaign performance across digital and offline channels sms email push paid media etc generate insights on campaign effectiveness customer behavior and roi to suppo optimization and future planning build maintain and automate dashboards and reports using tableau preferred or power bi for campaign tracking and business performance collaborate with campaign managers and product teams to design datadriven strategies conduct ab testing and performance benchmarking to identify opportunities for improvement translate complex data into clear actionable recommendations for leadership and stakeholders monitor kpis such as conversions ctr arpu uplift churn reduction and incremental revenue skills qualifications bachelors degree in marketing business statistics economics data analytics or related field 48 years of experience in campaign analytics digital marketing analytics or a similar role telecomtech industry experience preferred strong proficiency in digital analytics and campaign measurement handson experience with tableau preferred or power bi dashboard creation visualization and reporting advanced skills in excel and google sheets for data analysis and reporting strong analytical and commercial skills with the ability to translate data into business impact solid understanding of campaign performance metrics ctr conversion arpu churn uplift etc proficiency in excel and analytical tools google analytics adobe analytics or similar is a plus strong problemsolving skills with the ability to generate actionable insights excellent communication skills to present insights to both technical and nontechnical stakeholders why join us opportunity to work in a fastpaced datadriven environment direct impact on shaping campaign strategies and customer engagement exposure to advanced marketing automation and cvm platforms collaborative and supportive team culture
17,junior quant analyst,tidak ada tools spesifik,entry level,1,other,bachelorsmastersdoctorate in mathematics statistics actuarial science physics computer science or a related field provided the candidate demonstrates strong analytical mathematical and technical capabilities open to fresh graduates from reputable universities proficient in english with strong communication skills strong analytical skills trend detection anomaly identification problemsolving ability to meet tight deadlines in a fastpaced environment comfortable working in international and multilingual environments demonstrated willingness to learn and take on additional responsibilities expanding skills and team value fulltime commitment with flexibility to work beyond standard hours when required particularly to align with offshore market schedules job responsibilities conduct indepth research and develop quantitative models for stock price projection market volatility and portfolio risk management assess and manage data sources data source assessment evaluate and analyze data from various systems to ensure the right data is leveraged for reporting and analysis data audits reconciliation perform regular audits and reconcile final reports with source systems to ensure accuracy data quality maintenance monitor data quality through feedback and metrics addressing issues and implementing corrections as needed data usage insights promote best practices for data usage and provide actionable insights to improve decisionmaking conduct timeseries analysis and evaluate predictive accuracy implement predictive algorithms into investment workflows collaborate with research and investment teams to translate model outputs into practical strategies continuously monitor model performance and enhance methodologies with new data,expanding skills and team value fulltime commitment with flexibility to work beyond standard hours when required particularly to align with offshore market schedules job responsibilities conduct indepth research and develop quantitative models for stock price projection market volatility and portfolio risk management assess and manage data sources data source assessment evaluate and analyze data from various systems to ensure the right data is leveraged for reporting and analysis data audits reconciliation perform regular audits and reconcile final reports with source systems to ensure accuracy data quality maintenance monitor data quality through feedback and metrics addressing issues and implementing corrections as needed data usage insights promote best practices for data usage and provide actionable insights to improve decisionmaking conduct timeseries analysis and evaluate predictive accuracy implement predictive algorithms into investment workflows collaborate with research and investment teams to translate model outputs into practical strategies continuously monitor model performance and enhance methodologies with new data
18,data analyst,sql tableau python r power bi excel,entry level,6,data analyst,lulusan s1 jurusan matematika statistika informasi teknologi atau bidang terkait pemahaman yang kuat tentang statistik probabilitas dan analisis kuantitatif pengalaman minimal 1 tahun sebagai data analyst fresh graduates welcome keterampilan analitis dan pemecahan masalah menguasai tools pengolahan data seperti excel python r atau sql akan menjadi nilai plus berpengalaman menggunakan alat visualisasi data seperti tableau power bi atau sejenisnya penempatan modernland tangerang,
19,business analyst,tidak ada tools spesifik,entry level,1,business analyst,candidate must possess at least bachelors degree in urban regional planning real estate civil engineering architecture planology or business administration from reputable university at least 1 year of work experience in business analyst preferably from developerpropertyreal estate company fresh graduates are welcome to apply experienced in feasibility study and data analyst has good research and analytical skill fluent in using computer programs especially autocad statistical tools,prepare the financial modellingfeasibility study of a new potential residential project update and track monitoring the feasibility studies financial models of existing residential projects assist management in periodic budget review and prepare annual budget plan conduct residential market research and prepare the residential market reportslides conduct competitive analysis
20,merchandiser data analyst,power bi tableau excel sql,senior level,4,data analyst,bachelors degree from a reputable university in it mathematics statistics or a related field 35 years of experience in data analysis business intelligence or merchandising planning proficient in microsoft excel pivot tables complex formulas and sql familiar with power bi tableau or other bi tools knowledge of machine learningai is a plus strong communication skills with the ability to deliver insights to management effectively basic leadership skills highly detailoriented critical thinker and able to work under tight deadlines understanding mandarin language,collect clean and analyze sales inventory and market trend data using excel sql and bi tools develop datadriven merchandising plans assortment planning pricing strategy promotion effectiveness build and maintain dashboards and regular reports to suppo management decisionmaking collaborate with marketing buying and supply chain teams to ensure plans align with company targets perform root cause analysis to investigate anomalies in sales or inventory data present insights and recommendations to management and stakeholders in a clear and actionable way propose initiatives for automation and digitalization of data analysis using scripts or ai technology
21,data analyst,tidak ada tools spesifik,mid level,1,data analyst,pendidikan minimal s1 jurusan sistem informasiadministrasi bisnismatematika memiliki pengalaman sebagai data analyst minimal 3 tahun dari perusahaan food beveragefmcg lebih disukai memiliki pengalaman menggunakan business intelligence and dashboard ex data salesdemographic memiliki pengalaman bekerja dengan data,
22,junior business analyst,sql tableau excel python,mid level,4,business analyst,fresh graduates final year students currently pursuing a bachelors in engineering computer science mathematics statistics business management or any relevant background prior experience working as a business analyst consultant or related role with a minimum 24 years strong proficiency in excel sql and knowledge of data visualization tools like tableau and python strong analytical and problemsolving skills excellent written and verbal english skills able to present findings and recommendations clearly to stakeholders ability to work independently and in a team environment experience in the automotive industry is a plus willingness to work from an office based in west jakarta knowledge of statistical analysis data mining and machine learning is a plus,collecting analyzing and interpreting data and creating reports that can be used to inform the overall business strategy you will work with various teams to identify trends patterns and opportunities and provide insights on key metrics communicating findings to stakeholders and aligning datadriven strategy
23,sales data analyst - marketing secretary,excel,mid level,1,data analyst,pendidikan minimal d3 usia maksimal 38 tahun pengalaman kerja minimal 3 tahun sebagai senior administrasi memiliki pengalaman di bidang retail will be a plus menguasai bahasa inggris dengan baik lisan tulisan dapat mengoperasikan komputer ms office terutama excel rumusrumus terutama vlookup pivot familiar dan terbiasa dalam mengerjakan dan mengolah data teliti dan sistematis dalam bekerja menguasai correspondence pengarsipan business arrangement memiliki kemampuan komunikasi yang baik mampu bekerja dengan tenggat waktu deskripsi pekerjaan menyiapkan dokumen admisitrasi yang berhubungan dengan brand seperti laporan korespondensi dan lainlain handle kegiatan administrative dan memantau kegiatan sales administrative lainnya berhubungan dengan principal divisi lain dalam perusahaan dan departement store mendukung kegiatan brand manager terkait dengan divisi marketing mempersiapkan keperluan perjalanan dinas seperti transportasi dan akomodasi follow up agenda pimpinan tugas penting beserta tenggat waktunya,menyiapkan dokumen admisitrasi yang berhubungan dengan brand seperti laporan korespondensi dan lainlain handle kegiatan administrative dan memantau kegiatan sales administrative lainnya berhubungan dengan principal divisi lain dalam perusahaan dan departement store mendukung kegiatan brand manager terkait dengan divisi marketing mempersiapkan keperluan perjalanan dinas seperti transportasi dan akomodasi follow up agenda pimpinan tugas penting beserta tenggat waktunya
24,data analyst,gcp sql aws tableau google data studio python r power bi azure,mid level,9,data analyst,pendidikan minimal s1 statistik matematika ilmu komputer ekonomi atau bidang terkait pengalaman kerja sebagai data analyst posisi sejenis minimal 12 tahun fresh graduate dengan skill kuat dipertimbangkan menguasai sql dan bahasa pemrograman analisis data pythonr terbiasa menggunakan tools visualisasi power bi tableau google data studio atau sejenisnya memiliki kemampuan analisis yang kuat serta perhatian pada detail mampu mengkomunikasikan hasil analisis dengan jelas kepada pihak nonteknis kemampuan problem solving dan critical thinking yang baik nilai tambah preferred pengalaman di bidang big data machine learning atau data engineering familiar dengan cloud platform aws gcp azure pengalaman membuat model prediktif soft skills yang dibutuhkan komunikasi yang baik lisan maupun tulisan kemampuan bekerja dalam tim maupun mandiri time management dan orientasi pada hasil,
25,business analyst,tidak ada tools spesifik,mid level,1,business analyst,and translate them to system design configure customize the application to facilitate designated processes and transaction flow including interface programs create and execute design specification documentation testing and implementation in accordance to the project development methodology change management and release processes monitor and evaluate software releases patches and make the appropriate recommendations giving review and enhancement system from business unit into business requirement document brd able to do assessment dan functional specification document fsd able to do system integration test prepare the testing scenario for the user acceptance test develop maintain and deliver training and documentation to users,analyze and understand systems processes and business requirements and translate them to system design configure customize the application to facilitate designated processes and transaction flow including interface programs create and execute design specification documentation testing and implementation in accordance to the project development methodology change management and release processes monitor and evaluate software releases patches and make the appropriate recommendations giving review and enhancement system from business unit into business requirement document brd able to do assessment dan functional specification document fsd able to do system integration test prepare the testing scenario for the user acceptance test develop maintain and deliver training and documentation to users
26,junior equity analyst,sql tableau excel,mid level,3,other,bachelors degree in any discipline provided the candidate demonstrates strong analytical problemsolving and data interpretation skills 12 years of experience in equity research or financialmarket analysis proficient in english with strong academic credentials and communication skills strong analytical thinking problemsolving ability and communication skills to translate complex data into clear recommendations proficiency in data analysis tools eg sql excel tableau is an advantage highly motivated and selfdriven eager to enhance skills in industry research marketcompetitor analysis and producing datadriven insights strong work ethic and ability to meet tight deadlines in a fastpaced environment demonstrated willingness to learn and take on additional responsibilities resulting in broader skills and greater team value keen interest in understanding market dynamics and staying updated with industry trends fulltime commitment with flexibility to work beyond standard hours when required particularly to align with offshore markets,resulting in broader skills and greater team value keen interest in understanding market dynamics and staying updated with industry trends fulltime commitment with flexibility to work beyond standard hours when required particularly to align with offshore markets
27,qc analyst,tidak ada tools spesifik,unspecified,1,other,accountabilities responsible for conducting testing based on a valid document and also reporting responsible for maintaining the availability of all reagents reference standards and spare parts by filling the stock card responsible for maintenance and monitoring of laboratory instruments and glassware responsible for sample handling at the laboratory responsible for filling qc performance log book instrument trend data and stability data responsible for conducting method validation and cleaning validation based on protocol and also prepared the report actively participating in small group activities sga and the environment health and safety ehs education requirements vocational high school of chemical analyst experience requirements have a minimum of 1 year of experience in quality control in the pharmaceutical industry have a good understanding of the basic principles of good laboratory practice and data integrity have a good command of the computer experience in the pharmaceutical industry is preferable,
28,merchant marketing data analyst associate,sql tableau google data studio python r,mid level,5,data analyst,,
29,esg compliance analyst,tidak ada tools spesifik,unspecified,1,other,minimum bachelor degree in environmental engineering preference experience in business processes related to esg ghg inventory and esg rating knowledge in renewable system development andor renewable energy understand and having experience in implementation of iso 14064 and iso 14001 having abilility to operate canva having experience related to ghg a must and gresb preference fluent in english,preparation of documents that related to gresb global real estate sustainability benchmark policies suppo gresb esg certification having experience with ghg calculation life cycle assessment climate risk assessment sustainable developmeny operation energy suppo for implementation of iso 14001 14064 will be an advantage developing models and conducting analyses to predict the impact of potential environmental hazards preparing reports about findings conclusions and recommendations for future action
30,business analyst,power bi tableau excel sql,mid level,4,business analyst,document yang jelas dan terstruktur menganalisis proses bisnis yang ada serta mengidentifikasi gap atau area untuk perbaikan berkolaborasi dengan tim it product finance sales dan unit terkait untuk merancang solusi melakukan uji coba dan memastikan solusi sesuai dengan kebutuhan bisnis membuat laporan dashboard atau insight berbasis data untuk mendukung pengambilan keputusan menjadi penghubung antara stakeholder bisnis dan tim teknis memberikan rekomendasi strategis untuk efisiensi operasional dan pengembangan bisnis,mengumpulkan mendokumentasikan dan menganalisis kebutuhan bisnis dari berbagai stakeholder membuat requirement document yang jelas dan terstruktur menganalisis proses bisnis yang ada serta mengidentifikasi gap atau area untuk perbaikan berkolaborasi dengan tim it product finance sales dan unit terkait untuk merancang solusi melakukan uji coba dan memastikan solusi sesuai dengan kebutuhan bisnis membuat laporan dashboard atau insight berbasis data untuk mendukung pengambilan keputusan menjadi penghubung antara stakeholder bisnis dan tim teknis memberikan rekomendasi strategis untuk efisiensi operasional dan pengembangan bisnis
31,quality data analyst,excel,unspecified,1,data analyst,pendidikan min d3 teknik memiliki pengalaman yang berkaitan seperti mampu mengoperasikan microsoft office terutama microsoft excel memahami teknik pengolahan data memiliki kemampuan bahasa inggris deskprisi pekerjaan mengumpulkan mengelola dan menganalisis data dari berbagai sumber menggunakan alat seperti spc menyajikan data kompleks dalam laporan yang ringkas dan informatif untuk mendukung pengambilan keputusan berkolaborasi lintas departemen untuk memahami kebutuhan pelaporan dan menyediakan data yang relevan memantau kualitas data mengidentifikasi kesalahan dan memastikan akurasi serta keandalannya memberikan rekomendasi untuk optimalisasi proses pengumpulan analisis dan pelaporan data,
32,data analyst,excel,mid level,1,data analyst,lulusan s1 statistika matematika atau akuntansi menguasai microsoft excel secara mendalam termasuk fungsi lanjutan dan analisis data kemampuan komunikasi dan kolaborasi yang solid adaptif dalam kerja individu maupun tim pengalaman 12 tahun sebagai data analyst dengan pemahaman analitik yang kuat,menganalisis data untuk mengidentifikasi tren korelasi dan insight bisnis mengembangkan laporan visualisasi data dan dashboard interaktif memberikan rekomendasi berbasis data kepada stakeholder terkait berkolaborasi dengan tim lintas fungsi untuk memahami kebutuhan analitik
33,product analyst/business analyst,tidak ada tools spesifik,mid level,1,business analyst,from stakeholders across departments including trading risk compliance and customer servicemarketing collaborate with product managers and development teams to define product features prioritize backlog items and ensure alignment with business goals conduct market and competitor analysis to identify opportunities for new products or enhancements to existing securities products monitor product performance and user feedback to recommend continuous improvements and enhancements liaise with compliance and legal teams to ensure products meet regulatory requirements,gather analyze and document business requirements from stakeholders across departments including trading risk compliance and customer servicemarketing collaborate with product managers and development teams to define product features prioritize backlog items and ensure alignment with business goals conduct market and competitor analysis to identify opportunities for new products or enhancements to existing securities products monitor product performance and user feedback to recommend continuous improvements and enhancements liaise with compliance and legal teams to ensure products meet regulatory requirements
34,data analyst (for social media & influencer reporting),tidak ada tools spesifik,unspecified,1,data analyst,,responsible for collecting analyzing and creating comprehensive reports on social media and influencer campaign performance to generate actionable insights collect input and organize data from social media platforms and influencer campaigns create comprehensive reports weekly monthly and campaignbased covering reach engagement impressions conversions roi and other kpis develop dashboards and visualizations to present data in an easytounderstand format ensure accuracy and consistency of data across multiple sources provide insights and recommendations to optimize campaign performance and influencer selection collaborate with the social media influencer and strategy teams to suppo decisionmaking with datadriven findings continuously improve reporting methods and explore new tools to enhance efficiency
35,data analyst,excel,unspecified,1,data analyst,bachelors degree from an accredited university or college in computer science accountinginformation system information technologyactuarialmathematics work experience as a data analyst or in a related field demonstrated experience in handling large data sets and relational databases highlevel written and verbal communication skills expe in ms office especially excel and powerpoint ability in mandarin is an advantage experienced in odoo or any erp is an advantage,managing master data including creation updates and deletion managing reports in excel and presenting to management in power point good at analyzing data generate sales reports to commercial team managing users and user roles provide quality assurance of imported data working with quality assurance analysts if necessary processing confidential data and information according to guidelines helping develop reports and analysis managing and designing the reporting environment supporting the data warehouse in identifying and revising reporting requirements supporting initiatives for data integrity and normalization generating reports from multiple systems troubleshooting the reporting database environment and reports
36,data analyst associate,sql python power bi pandas excel,unspecified,5,data analyst,sarjana jurusan computer science cakap menjalankan my sql power bi python pandas ms excel power query cakap dalam mengelola large data mengerti contraining relation table berpengalaman dalam mengelola sales data,melakukan update stok inventory gathering data invoice order data penjualan visit run script etl pipeline pada python provide data request kepada stakeholders spv manager provide analisa power bi tools yang digunakan excel power query odbc python power bi
37,data analyst intern,scikitlearn sql tableau python r power bi mongodb excel tensorflow,unspecified,9,data analyst,document data processes and contribute to process improvements perform ad hoc data tasks and provide suppo for ongoing analytics initiatives potentially contribute to machine learning or ai related projects what were looking for currently pursuing or recently completed a degree in data science statistics computer science mathematics economics or a related field basic understanding of data analysis statistics or business analytics familiarity with excel mongodb sql or data tools like pythonr a plus interest in learning data visualization tools eg power bi tableau or similar strong attention to detail with the ability to work independently and within a team good communication and organizational skills curiosity and eagerness to learn about datadriven decisionmaking exposure to machine learning concepts or tools eg scikitlearn tensorflow experience with data visualization tools interest in or experience with business analysis or working with stakeholders what we offer at pt higo fitur indonesia we are committed to providing a supportive and inclusive work environment that fosters personal and professional growth as a data analyst intern youll have the opportunity to work alongside industryleading experts gain valuable handson experience and contribute to the development of innovative datadriven solutions,
38,data analyst officer for merchandising division,excel,mid level,1,data analyst,bachelor degree from information system information technology computerized accounting or accounting minimum 2 years relevant experience as data analyst preferably from fashion retail industry or auditor advance in excel is a must comfortable working with numbers organized strong analytical skills good detail orientation strong coordination interpersonal skill fluent in english computer literate willing to be placed at lippo karawaci,supporting merchandising manager in preparing the data for evaluating merchandise performance sales inventory slow moving creating merchandising budget plan by planning and executes merchandise at store sku level develop and communicate the product business knowledge identify and analyze the business strategy opportunity and risk prepare manage and check administration and documentation
