job_id,job_title,company_name,industry_category,raw_description,location,posted_date,salary_range,employment_type,job_url,source_platform,extracted_job_skills,experience_level
72b8e6fa-c4de-4c8f-b628-f3fe84a56ea4,SALES GENERALIS BANK MANDIRI PENEMPATAN SARIBU DOLOK,PT Puriasri Bhaktikarya,Business Development & Sales,,"Kab. Simalungun, Sumatera Utara",Not specified,Gaji Tidak Ditampilkan,Kontrak,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-penempatan-saribu-dolok/72b8e6fa-c4de-4c8f-b628-f3fe84a56ea4?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
5bfc105b-d9d1-434a-ba72-865dc77a4a9d,Sales Mikro Bank DKI (Jabodetabek),PT Puriasri Bhaktikarya,Business Development & Sales,,"Jakarta Pusat, DKI Jakarta",Not specified,Gaji Tidak Ditampilkan,Not specified,https://glints.com/id/opportunities/jobs/sales-mikro-bank-dki-jabodetabek/5bfc105b-d9d1-434a-ba72-865dc77a4a9d?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],Not specified
dcae1258-471e-4d0f-80ee-fce0906b4c87,"Field Collection (Penempatan Garut, Singaparna dan Bandung)",PT Puriasri Bhaktikarya,Accounting,,"Bandung, Jawa Barat",Not specified,Gaji Tidak Ditampilkan,Kontrak,https://glints.com/id/opportunities/jobs/field-collection-penempatan-garut-singaparna-dan-bandung/dcae1258-471e-4d0f-80ee-fce0906b4c87?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
747334cc-9ccd-41ed-9d30-c02c9887c2ee,SALES GENERALIS PENEMPATAN CIREBON,PT Puriasri Bhaktikarya,Business Development & Sales,,"Bandung, Jawa Barat",Not specified,Gaji Tidak Ditampilkan,Kontrak,https://glints.com/id/opportunities/jobs/sales-generalis-penempatan-cirebon/747334cc-9ccd-41ed-9d30-c02c9887c2ee?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
194741bc-1f4c-438f-b18d-722775e4cc75,live streaming,ALAM MEGAH GLOBALINDO PERKASA,Marketing,,"Kab. Pasuruan, Jawa Timur",Not specified,"Rp 1,5 jt-2,5 jt",Not specified,https://glints.com/id/opportunities/jobs/live-streaming/194741bc-1f4c-438f-b18d-722775e4cc75?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
9cf79015-84bd-41c3-b53d-8532891bff7d,Kitchen,Kopi Maut Tanpa Sianida - Maher S***,Services Industry,,"Jakarta Pusat, DKI Jakarta",Not specified,Rp 3 jt-4 jt,Not specified,https://glints.com/id/opportunities/jobs/kitchen/9cf79015-84bd-41c3-b53d-8532891bff7d?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
0358ba19-b79d-4fc1-8bbf-0e1ec3e74b43,Bread Maker,Chastera Bakehouse,Services Industry,,"Kab. Tangerang, Banten",Not specified,Rp 2 jt-3 jt,Not specified,https://glints.com/id/opportunities/jobs/bread-maker/0358ba19-b79d-4fc1-8bbf-0e1ec3e74b43?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
b3e8af56-0ba2-41d6-9f29-c0f99b9ffd9e,Creative Director,Amsal Kreasi Digital,Marketing,,"Kab. Badung, Bali",Not specified,Gaji Tidak Ditampilkan,Not specified,https://glints.com/id/opportunities/jobs/creative-director/b3e8af56-0ba2-41d6-9f29-c0f99b9ffd9e?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
de59bba4-c95b-4f85-b491-58e1211d5295,Personal Assistant,Amsal Kreasi Digital,Administrative & HR,,"Kab. Badung, Bali",Not specified,Gaji Tidak Ditampilkan,Not specified,https://glints.com/id/opportunities/jobs/personal-assistant/de59bba4-c95b-4f85-b491-58e1211d5295?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
361b8830-385d-4fe8-9a6b-4c5d87030c23,Learning & Training Support,PT Ruang Cerdas Indonesia,Education & Training,,"Depok, Jawa Barat",Not specified,Rp 2 jt-3 jt,Kontrak,https://glints.com/id/opportunities/jobs/learning-and-training-support/361b8830-385d-4fe8-9a6b-4c5d87030c23?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],Not specified
fcb3efe3-998a-47f0-a906-c59b297d8178,FREELANCE FINANCE & ACCOUNTING,PT. MORRIGAN SERVICES,Accounting,,"Jakarta Pusat, DKI Jakarta",Not specified,"Rp 1 jt-2,5 jt",Not specified,https://glints.com/id/opportunities/jobs/freelance-finance-and-accounting/fcb3efe3-998a-47f0-a906-c59b297d8178?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],Not specified
cf72be37-21f4-40e3-8294-4a910d0d3431,Direct Sales Wifi XLSatu Area Jakarta Pusat,PT Cahaya Bumi Nasional,Business Development & Sales,,"Jakarta Pusat, DKI Jakarta",Not specified,"Rp 2,8 jt-5 jt",Not specified,https://glints.com/id/opportunities/jobs/direct-sales-wifi-xlsatu-area-jakarta-pusat/cf72be37-21f4-40e3-8294-4a910d0d3431?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],Not specified
581ef42d-1ca7-41ff-8c34-bbea18edd1de,Akuntan Umum,PT. Abhinaya Mappindo Bumitala,Accounting,,"Kab. Tangerang, Banten",Not specified,"Rp 4,5 jt-5 jt",Not specified,https://glints.com/id/opportunities/jobs/akuntan-umum/581ef42d-1ca7-41ff-8c34-bbea18edd1de?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],Not specified
82bd9bfe-1014-4ae8-aa41-9e783c87edbf,Google Ads Specialist,Widesain Studio,Marketing,,"Jakarta Selatan, DKI Jakarta",Not specified,Rp 3 jt-7 jt,Kontrak,https://glints.com/id/opportunities/jobs/google-ads-specialist/82bd9bfe-1014-4ae8-aa41-9e783c87edbf?utm_referrer=explore&traceInfo=46bed786-a160-4eb0-a00d-64457a7ecadc,Glints,[],1–3 tahun
